k=500, E_in=0.40417457305502846
k=501, E_in=0.40299990964127586
k=502, E_in=0.40408421433089364
k=503, E_in=0.40218668112406253
k=504, E_in=0.40218668112406253
k=505, E_in=0.4035420619860848
k=506, E_in=0.40227703984819735
k=507, E_in=0.40227703984819735
k=508, E_in=0.40218668112406253
k=509, E_in=0.4035420619860848
k=510, E_in=0.4028191921930062
k=511, E_in=0.4031806270895455
k=512, E_in=0.402457757296467
k=513, E_in=0.4036324207102196
k=514, E_in=0.4044456492274329
k=515, E_in=0.40417457305502846
k=516, E_in=0.40408421433089364
k=517, E_in=0.403903496882624
k=518, E_in=0.4030902683654107
k=519, E_in=0.4030902683654107
