k=400, E_in=0.41230685822716184
k=401, E_in=0.4127586518478359
k=402, E_in=0.4127586518478359
k=403, E_in=0.4113129122616789
k=404, E_in=0.40815035691696033
k=405, E_in=0.4109514773651396
k=406, E_in=0.41059004246860037
k=407, E_in=0.41077075991686995
k=408, E_in=0.40824071564109515
k=409, E_in=0.40968645522725217
k=410, E_in=0.40860215053763443
k=411, E_in=0.40932502033071294
k=412, E_in=0.40896358543417366
k=413, E_in=0.41059004246860037
k=414, E_in=0.40932502033071294
k=415, E_in=0.40941537905484776
k=416, E_in=0.40941537905484776
k=417, E_in=0.41040932502033073
k=418, E_in=0.41013824884792627
k=419, E_in=0.4091443028824433
